
time,ax,ay,az,wx,wy,wz,Latitude,Longitude,Speed (m/s),Altitude (m),
0.032319,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.00000000,0.00000000,0.00000000,870.60000000,
0.033554,0.0000,0.0000,0.0000,-0.5376,0.0086,0.7862,12.84374833,77.66293000,0.00000000,870.60000000,
0.053491,0.0000,0.0000,0.0000,-0.9016,0.0269,0.8192,12.84374833,77.66293000,0.00000000,870.60000000,
0.072229,0.0000,0.0000,0.0000,-0.9016,0.0269,0.8192,12.84374833,77.66293000,0.00000000,870.60000000,
0.073131,-0.2589,0.5026,1.0045,-0.9016,0.0269,0.8192,12.84374833,77.66293000,0.00000000,870.60000000,
0.073889,-0.2589,0.5026,1.0045,-0.9114,0.2217,0.6555,12.84374833,77.66293000,0.00000000,870.60000000,
0.098149,-0.2589,0.5026,1.0045,-0.7330,0.0977,0.6903,12.84374833,77.66293000,0.00000000,870.60000000,
0.111615,-0.2589,0.5026,1.0045,-0.7330,0.0977,0.6903,12.84374833,77.66293000,0.00000000,870.60000000,
0.112487,0.5799,-0.7859,-0.3389,-0.7330,0.0977,0.6903,12.84374833,77.66293000,0.00000000,870.60000000,
0.113399,0.5799,-0.7859,-0.3389,-0.5528,0.2443,0.7135,12.84374833,77.66293000,0.00000000,870.60000000,
0.133858,0.5799,-0.7859,-0.3389,-0.5620,0.4404,0.7312,12.84374833,77.66293000,0.00000000,870.60000000,
0.150958,0.5799,-0.7859,-0.3389,-0.5620,0.4404,0.7312,12.84374833,77.66293000,0.00000000,870.60000000,
0.152067,0.2756,-0.5570,-0.9930,-0.5620,0.4404,0.7312,12.84374833,77.66293000,0.00000000,870.60000000,
0.153075,0.2756,-0.5570,-0.9930,-0.8876,0.0415,0.6640,12.84374833,77.66293000,0.00000000,870.60000000,
0.177602,0.2756,-0.5570,-0.9930,-1.2956,0.0428,0.5205,12.84374833,77.66293000,0.00000000,870.60000000,
0.191966,0.2756,-0.5570,-0.9930,-1.2956,0.0428,0.5205,12.84374833,77.66293000,0.00000000,870.60000000,
0.192885,0.9558,-0.6080,-0.4285,-1.2956,0.0428,0.5205,12.84374833,77.66293000,0.00000000,870.60000000,
0.193882,0.9558,-0.6080,-0.4285,-1.5162,0.3042,0.3213,12.84374833,77.66293000,0.00000000,870.60000000,
0.214736,0.9558,-0.6080,-0.4285,-1.3787,0.3971,0.2364,12.84374833,77.66293000,0.00000000,870.60000000,
0.231790,0.9558,-0.6080,-0.4285,-1.3787,0.3971,0.2364,12.84374833,77.66293000,0.00000000,870.60000000,
0.233214,-1.2846,-0.3867,0.9569,-1.3787,0.3971,0.2364,12.84374833,77.66293000,0.00000000,870.60000000,
0.234397,-1.2846,-0.3867,0.9569,-1.0733,-0.2388,0.3916,12.84374833,77.66293000,0.00000000,870.60000000,
0.260391,-1.2846,-0.3867,0.9569,-0.6933,-0.9896,0.7190,12.84374833,77.66293000,0.00000000,870.60000000,
0.271530,-1.2846,-0.3867,0.9569,-0.6933,-0.9896,0.7190,12.84374833,77.66293000,0.00000000,870.60000000,
0.272527,-1.8879,-0.3524,4.2857,-0.6933,-0.9896,0.7190,12.84374833,77.66293000,0.00000000,870.60000000,
0.273478,-1.8879,-0.3524,4.2857,0.0513,-1.9487,1.7355,12.84374833,77.66293000,0.00000000,870.60000000,
0.293924,-1.8879,-0.3524,4.2857,0.8381,-2.0452,2.4221,12.84374833,77.66293000,0.00000000,870.60000000,
0.312294,-1.8879,-0.3524,4.2857,0.8381,-2.0452,2.4221,12.84374833,77.66293000,0.00000000,870.60000000,
0.313027,2.4780,-1.8077,1.0506,0.8381,-2.0452,2.4221,12.84374833,77.66293000,0.00000000,870.60000000,
0.313742,2.4780,-1.8077,1.0506,1.3946,-1.9761,2.1289,12.84374833,77.66293000,0.00000000,870.60000000,
0.338330,2.4780,-1.8077,1.0506,1.5986,-1.3494,1.1759,12.84374833,77.66293000,0.00000000,870.60000000,
0.351830,2.4780,-1.8077,1.0506,1.5986,-1.3494,1.1759,12.84374833,77.66293000,0.00000000,870.60000000,
0.353235,2.7164,-2.5391,0.3389,1.5986,-1.3494,1.1759,12.84374833,77.66293000,0.00000000,870.60000000,
0.354385,2.7164,-2.5391,0.3389,1.7538,0.4343,0.1533,12.84374833,77.66293000,0.00000000,870.60000000,
0.373993,2.7164,-2.5391,0.3389,2.1771,1.5919,-0.1839,12.84374833,77.66293000,0.00000000,870.60000000,
0.392072,2.7164,-2.5391,0.3389,2.1771,1.5919,-0.1839,12.84374833,77.66293000,0.00000000,870.60000000,
0.393451,0.8972,1.8873,3.3439,2.1771,1.5919,-0.1839,12.84374833,77.66293000,0.00000000,870.60000000,
0.394593,0.8972,1.8873,3.3439,2.7855,1.9994,-0.0055,12.84374833,77.66293000,0.00000000,870.60000000,
0.418324,0.8972,1.8873,3.3439,1.9273,-0.8515,0.1210,12.84374833,77.66293000,0.00000000,870.60000000,
0.431569,0.8972,1.8873,3.3439,1.9273,-0.8515,0.1210,12.84374833,77.66293000,0.00000000,870.60000000,
0.432446,0.6482,1.9424,-1.6055,1.9273,-0.8515,0.1210,12.84374833,77.66293000,0.00000000,870.60000000,
0.433364,0.6482,1.9424,-1.6055,1.4471,-0.7691,-0.1888,12.84374833,77.66293000,0.00000000,870.60000000,
0.453788,0.6482,1.9424,-1.6055,0.9633,-0.0067,-0.2230,12.84374833,77.66293000,0.00000000,870.60000000,
0.471800,0.6482,1.9424,-1.6055,0.9633,-0.0067,-0.2230,12.84374833,77.66293000,0.00000000,870.60000000,
0.472757,0.6111,1.5685,-2.1752,0.9633,-0.0067,-0.2230,12.84374833,77.66293000,0.00000000,870.60000000,
0.473651,0.6111,1.5685,-2.1752,0.2529,-0.0507,0.0874,12.84374833,77.66293000,0.00000000,870.60000000,
0.498180,0.6111,1.5685,-2.1752,-0.0391,0.1985,0.1662,12.84374833,77.66293000,0.00000000,870.60000000,
0.511627,0.6111,1.5685,-2.1752,-0.0391,0.1985,0.1662,12.84374833,77.66293000,0.00000000,870.60000000,
0.512512,2.7003,0.2350,-0.5363,-0.0391,0.1985,0.1662,12.84374833,77.66293000,0.00000000,870.60000000,
0.513403,2.7003,0.2350,-0.5363,0.0263,0.4264,-0.1600,12.84374833,77.66293000,0.00000000,870.60000000,
0.533572,2.7003,0.2350,-0.5363,0.2065,0.6188,-0.3085,12.84374833,77.66293000,0.00000000,870.60000000,
0.552470,2.7003,0.2350,-0.5363,0.2065,0.6188,-0.3085,12.84374833,77.66293000,0.00000000,870.60000000,
0.553350,2.7003,0.2350,-0.5363,0.4007,0.5846,-0.0788,12.84374833,77.66293000,0.00000000,870.60000000,
0.554246,0.8252,0.9270,-0.4178,0.4007,0.5846,-0.0788,12.84374833,77.66293000,0.00000000,870.60000000,
0.578315,0.8252,0.9270,-0.4178,0.4258,0.7410,0.0727,12.84374833,77.66293000,0.00000000,870.60000000,
0.591852,0.8252,0.9270,-0.4178,0.4258,0.7410,0.0727,12.84374833,77.66293000,0.00000000,870.60000000,
0.593872,1.8220,0.7538,-0.7261,0.4258,0.7410,0.0727,12.84374833,77.66293000,0.00000000,870.60000000,
